Fecha;Temperatura
1/02/2005;24,13
1/03/2005;23,96
1/04/2005;23,81
1/05/2005;23,04
1/06/2005;22,5
1/07/2005;22,6
1/08/2005;22,32
1/09/2005;22,69
1/10/2005;21,05
1/11/2005;22,51
1/12/2005;21,85
1/01/2006;22,86
1/02/2006;23,79
1/03/2006;23,42
1/04/2006;22,92
1/05/2006;22,39
1/06/2006;22,15
1/07/2006;22,07
1/08/2006;22,57
1/09/2006;22,44
1/10/2006;22,22
1/11/2006;22,35
1/12/2006;22,48
1/01/2007;23,51
1/02/2007;24,72
1/03/2007;24,92
1/04/2007;23,18
1/05/2007;23,27
1/06/2007;22,03
1/07/2007;22,07
1/08/2007;22,17
1/09/2007;22,69
1/10/2007;21,47
1/11/2007;22,11
1/12/2007;22,1
1/01/2008;23,22
1/02/2008;22,83
1/03/2008;24,46
1/04/2008;24,08
1/05/2008;22,87
1/06/2008;22,54
1/07/2008;23,47
1/08/2008;24,11
1/09/2008;24,65
1/10/2008;21,94
1/11/2008;23,07
1/12/2008;21,95
1/01/2009;22,4
1/02/2009;22,58
1/03/2009;23,29
1/04/2009;23,22
1/05/2009;22,73
1/06/2009;22,97
1/07/2009;22,69
1/08/2009;22,35
1/09/2009;23,36
1/10/2009;22,77
1/11/2009;21,97
1/12/2009;22,74
1/01/2010;23,53
1/02/2010;24,88
1/03/2010;25,19
1/04/2010;24,31
1/05/2010;23,17
1/06/2010;22,34
1/07/2010;21,3
1/08/2010;21,81
1/09/2010;21,78
1/10/2010;22,16
1/11/2010;20,34
1/12/2010;21,62
1/01/2011;22,66
1/02/2011;22,92
1/03/2011;22,05
1/04/2011;22,09
1/05/2011;22,51
1/06/2011;22,14
1/07/2011;21,87
1/08/2011;22,4
1/09/2011;22,53
1/10/2011;20,91
1/11/2011;21,66
1/12/2011;22,16
1/01/2012;22,34
1/02/2012;22,33
1/03/2012;22,86
1/04/2012;22,53
1/05/2012;22,27
1/06/2012;22,69
1/07/2012;22,11
1/08/2012;21,7
1/09/2012;22,16
1/10/2012;22,48
1/11/2012;21,87
1/12/2012;22,05
1/01/2013;23,21
1/02/2013;22,57
1/03/2013;23,76
1/04/2013;23,21
1/05/2013;22,05
1/06/2013;22,93
1/07/2013;22,1
1/08/2013;22,29
1/09/2013;23,01
1/10/2013;22,66
1/11/2013;22,55
1/12/2013;22,7
1/01/2014;22,89
1/02/2014;22,5
1/03/2014;23,7
1/04/2014;23,67
1/05/2014;22,32
1/06/2014;22,81
1/07/2014;22,24
1/08/2014;22,42
1/09/2014;22,63
1/10/2014;21,95
1/11/2014;21,55
1/12/2014;22,32
1/01/2015;22,66
1/02/2015;23,54
1/03/2015;24,09
1/04/2015;23,59
1/05/2015;23,83
1/06/2015;22,5
1/07/2015;22,99
1/08/2015;23,53
1/09/2015;23,25
1/10/2015;23,47
1/11/2015;22,85
1/12/2015;23,78
1/01/2016;24,85
1/02/2016;26,13
